sku,product_name,collection,family_id,product_type,domain,category,subcategory,raw_description,raw_catalogue_text,mrp,currency,tax_included,price_note,finish_code,finish_name,colour_name,colour_family,appearance_notes,dimension_raw,width_mm,depth_mm,height_mm,diameter_mm,length_mm,min_width_mm,max_width_mm,min_depth_mm,max_depth_mm,min_height_mm,max_height_mm,dimension_type,trap_type,rough_in_mm,toilet_configuration,flush_type,seat_included,bidet_function,smart_features,basin_type,faucet_hole_count,mounting_type,overflow,material,control_type,faucet_type,drain_included,hand_shower,diverter,spout_type,touchless,sensor_type,shower_type,function_count,outlet_count,power_kw,steam_type,bowl_count,bowl_configuration,tap_hole_count,included_accessories,bath_type,installation_type,shape,hydrotherapy_features,included_components,required_components,order_with_components,compatible_skus,compatibility_notes,is_configurable,configuration_type,configuration_options,orientation,site_dependent,configuration_notes,catalogue_id,catalogue_name,catalogue_year,catalogue_edition,source_page,source_type,extraction_confidence,review_required,review_reason,duplicate_status,duplicate_group,reconciliation_status
K-25348IN-RGD,,,,bath_accessory,bathroom,vibrant_finishes,bath_accessory,ACCESSORIES Accent 610mm single towel bar in rose gold,,5500.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,133,catalogue,high,False,,unique,,clean
K-25430IN-RGD,,,,,bathroom,vibrant_finishes,,Toilet brush holder in rose gold,,4900.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,133,catalogue,high,False,,unique,,clean
K-25347IN-RGD,,,,bath_accessory,bathroom,vibrant_finishes,bath_accessory,Towel ring in rose gold,,4350.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,133,catalogue,high,False,,unique,,clean
K-25428IN-RGD,,,,,bathroom,vibrant_finishes,,Tumbler holder in rose gold,,3200.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,133,catalogue,high,False,,unique,,clean
K-25346IN-RGD,,,,,bathroom,vibrant_finishes,,Toilet tissue holder in rose gold,,3000.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,133,catalogue,high,False,,unique,,clean
K-25429IN-RGD,,,,,bathroom,vibrant_finishes,,Soap dish in rose gold,,3000.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,133,catalogue,high,False,,unique,,clean
K-25349IN-RGD,,,,bath_accessory,bathroom,vibrant_finishes,bath_accessory,Single robe hook in rose gold,,1600.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,133,catalogue,high,False,,unique,,clean
K-97347-4-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-basin_faucet,basin_faucet,bathroom,vibrant_finishes,basin_faucet,Avid™ Single-control tall basin faucet with drain in matte black,,79400.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,unique,,clean
K-73159T-B7-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-basin_faucet,basin_faucet,bathroom,vibrant_finishes,basin_faucet,Composed™ Single-control tall basin faucet with drain in matte black,,63500.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,unique,,clean
K-73050T-B7-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-basin_faucet,basin_faucet,bathroom,vibrant_finishes,basin_faucet,Single-control basin faucet with drain in matte black,,57800.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,unique,,clean
